Average cost of fossil fuels for electricity generation petroleum liquids California electric power (total) monthly
https://www.eia.gov/opendata/qb.php?category=41623&sdid=ELEC.COST.PEL-CA-98.M
08:08:30 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.COST.PEL-CA-98.M dollars per barrels
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,0
Sep 2017,0
Aug 2017,0
Jul 2017,0
Jun 2017,0
May 2017,0
Apr 2017,0
Mar 2017,0
Feb 2017,0
Jan 2017,0
Dec 2016,0
Nov 2016,0
Oct 2016,0
Sep 2016,0
Aug 2016,0
Jul 2016,0
Jun 2016,0
May 2016,0
Apr 2016,0
Mar 2016,0
Feb 2016,0
Jan 2016,0
Dec 2015,0
Nov 2015,0
Oct 2015,0
Sep 2015,0
Aug 2015,0
Jul 2015,0
Jun 2015,0
May 2015,0
Apr 2015,0
Mar 2015,0
Feb 2015,0
Jan 2015,0
Dec 2014,0
Nov 2014,0
Oct 2014,0
Sep 2014,0
Aug 2014,0
Jul 2014,0
Jun 2014,0
May 2014,0
Apr 2014,0
Mar 2014,0
Feb 2014,0
Jan 2014,0
Dec 2013,0
Nov 2013,0
Oct 2013,0
Sep 2013,0
Aug 2013,0
Jul 2013,0
Jun 2013,0
May 2013,0
Apr 2013,0
Mar 2013,0
Feb 2013,0
Jan 2013,0
Dec 2012,146.16
Nov 2012,148.45
Oct 2012,154.29
Sep 2012,0
Aug 2012,0
Jul 2012,0
Jun 2012,0
May 2012,153.2
Apr 2012,0
Mar 2012,165.33
Feb 2012,0
Jan 2012,0
Dec 2011,
Nov 2011,
Oct 2011,
Sep 2011,
Aug 2011,
Jul 2011,
Jun 2011,
May 2011,
Apr 2011,
Mar 2011,
Feb 2011,
Jan 2011,
Dec 2010,
Nov 2010,
Oct 2010,129.1
Sep 2010,
Aug 2010,99.85
Jul 2010,99.04
Jun 2010,
May 2010,101.76
Apr 2010,
Mar 2010,96.7
Feb 2010,
Jan 2010,
Dec 2009,
Nov 2009,
Oct 2009,
Sep 2009,
Aug 2009,
Jul 2009,
Jun 2009,
May 2009,
Apr 2009,
Mar 2009,
Feb 2009,
Jan 2009,
Dec 2008,76.95
Nov 2008,101.69
Oct 2008,125.33
Sep 2008,
Aug 2008,
Jul 2008,
Jun 2008,
May 2008,
Apr 2008,
Mar 2008,
Feb 2008,
Jan 2008,118.64 
