Revenue from retail sales of electricity California other monthly
https://www.eia.gov/opendata/qb.php?category=1011&sdid=ELEC.REV.CA-OTH.M
08:15:44 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.REV.CA-OTH.M million dollars
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,0
Sep 2017,0
Aug 2017,0
Jul 2017,0
Jun 2017,0
May 2017,0
Apr 2017,0
Mar 2017,0
Feb 2017,0
Jan 2017,0
Dec 2016,0
Nov 2016,0
Oct 2016,0
Sep 2016,0
Aug 2016,0
Jul 2016,0
Jun 2016,0
May 2016,0
Apr 2016,0
Mar 2016,0
Feb 2016,0
Jan 2016,0
Dec 2015,0
Nov 2015,0
Oct 2015,0
Sep 2015,0
Aug 2015,0
Jul 2015,0
Jun 2015,0
May 2015,0
Apr 2015,0
Mar 2015,0
Feb 2015,0
Jan 2015,0
Dec 2014,0
Nov 2014,0
Oct 2014,0
Sep 2014,0
Aug 2014,0
Jul 2014,0
Jun 2014,0
May 2014,0
Apr 2014,0
Mar 2014,0
Feb 2014,0
Jan 2014,0
Dec 2013,0
Nov 2013,0
Oct 2013,0
Sep 2013,0
Aug 2013,0
Jul 2013,0
Jun 2013,0
May 2013,0
Apr 2013,0
Mar 2013,0
Feb 2013,0
Jan 2013,0
Dec 2012,0
Nov 2012,0
Oct 2012,0
Sep 2012,0
Aug 2012,0
Jul 2012,0
Jun 2012,0
May 2012,0
Apr 2012,0
Mar 2012,0
Feb 2012,0
Jan 2012,0
Dec 2011,0
Nov 2011,0
Oct 2011,0
Sep 2011,0
Aug 2011,0
Jul 2011,0
Jun 2011,0
May 2011,0
Apr 2011,0
Mar 2011,0
Feb 2011,0
Jan 2011,0
Dec 2010,0
Nov 2010,0
Oct 2010,0
Sep 2010,0
Aug 2010,0
Jul 2010,0
Jun 2010,0
May 2010,0
Apr 2010,0
Mar 2010,0
Feb 2010,0
Jan 2010,0
Dec 2009,0
Nov 2009,0
Oct 2009,0
Sep 2009,0
Aug 2009,0
Jul 2009,0
Jun 2009,0
May 2009,0
Apr 2009,0
Mar 2009,0
Feb 2009,0
Jan 2009,0
Dec 2008,0
Nov 2008,0
Oct 2008,0
Sep 2008,0
Aug 2008,0
Jul 2008,0
Jun 2008,0
May 2008,0
Apr 2008,0
Mar 2008,0
Feb 2008,0
Jan 2008,0
Dec 2007,0
Nov 2007,0
Oct 2007,0
Sep 2007,0
Aug 2007,0
Jul 2007,0
Jun 2007,0
May 2007,0
Apr 2007,0
Mar 2007,0
Feb 2007,0
Jan 2007,0
Dec 2006,0
Nov 2006,0
Oct 2006,0
Sep 2006,0
Aug 2006,0
Jul 2006,0
Jun 2006,0
May 2006,0
Apr 2006,0
Mar 2006,0
Feb 2006,0
Jan 2006,0
Dec 2005,0
Nov 2005,0
Oct 2005,0
Sep 2005,0
Aug 2005,0
Jul 2005,0
Jun 2005,0
May 2005,0
Apr 2005,0
Mar 2005,0
Feb 2005,0
Jan 2005,0
Dec 2004,0
Nov 2004,0
Oct 2004,0
Sep 2004,0
Aug 2004,0
Jul 2004,0
Jun 2004,0
May 2004,0
Apr 2004,0
Mar 2004,0
Feb 2004,0
Jan 2004,0
Dec 2003,0
Nov 2003,0
Oct 2003,0
Sep 2003,0
Aug 2003,0
Jul 2003,0
Jun 2003,0
May 2003,0
Apr 2003,0
Mar 2003,0
Feb 2003,0
Jan 2003,0
Dec 2002,48.56877
Nov 2002,37.63104
Oct 2002,40.32698
Sep 2002,41.90427
Aug 2002,41.12269
Jul 2002,39.63531
Jun 2002,38.75282
May 2002,35.83073
Apr 2002,34.13117
Mar 2002,33.68673
Feb 2002,34.08019
Jan 2002,34.52529
Dec 2001,72.14988
Nov 2001,79.06838
Oct 2001,107.91263
Sep 2001,105.05659
Aug 2001,120.16135
Jul 2001,117.12545
Jun 2001,90.46675
May 2001,65.97455
Apr 2001,61.24049
Mar 2001,61.40313
Feb 2001,51.92137
Jan 2001,50.20042 
