Total consumption petroleum liquids California electric power (total) monthly
https://www.eia.gov/opendata/qb.php?category=871&sdid=ELEC.CONS_TOT.PEL-CA-98.M
08:00:18 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.CONS_TOT.PEL-CA-98.M thousand barrels
Jan 2018,5.55845
Dec 2017,6.36767
Nov 2017,5.48218
Oct 2017,7.11567
Sep 2017,7.98488
Aug 2017,6.82601
Jul 2017,5.90253
Jun 2017,6.64876
May 2017,6.4324
Apr 2017,6.8643
Mar 2017,5.97466
Feb 2017,5.20709
Jan 2017,5.62954
Dec 2016,11.74636
Nov 2016,5.34548
Oct 2016,6.41908
Sep 2016,10.05627
Aug 2016,6.68615
Jul 2016,6.84008
Jun 2016,5.80934
May 2016,7.10512
Apr 2016,6.554
Mar 2016,5.8217
Feb 2016,4.73718
Jan 2016,6.30457
Dec 2015,12.35258
Nov 2015,6.77963
Oct 2015,13.30734
Sep 2015,16.09383
Aug 2015,9.60324
Jul 2015,8.34953
Jun 2015,17.28792
May 2015,17.83245
Apr 2015,9.7714
Mar 2015,4.89212
Feb 2015,5.3079
Jan 2015,10.37201
Dec 2014,8.13337
Nov 2014,5.40055
Oct 2014,9.21536
Sep 2014,11.72317
Aug 2014,7.52124
Jul 2014,8.75686
Jun 2014,6.92939
May 2014,7.7545
Apr 2014,6.43056
Mar 2014,5.35388
Feb 2014,4.57864
Jan 2014,11.46943
Dec 2013,8.14542
Nov 2013,6.02795
Oct 2013,5.35254
Sep 2013,7.83514
Aug 2013,8.33084
Jul 2013,6.85611
Jun 2013,5.88348
May 2013,8.46809
Apr 2013,10.23333
Mar 2013,5.49684
Feb 2013,4.78865
Jan 2013,5.36395
Dec 2012,6.44965
Nov 2012,4.90465
Oct 2012,11.13165
Sep 2012,7.73702
Aug 2012,7.30137
Jul 2012,5.43365
Jun 2012,10.85231
May 2012,6.28815
Apr 2012,14.27915
Mar 2012,5.16696
Feb 2012,9.31
Jan 2012,4.289
Dec 2011,5.312
Nov 2011,5.80715
Oct 2011,5.08893
Sep 2011,17.40948
Aug 2011,8.30425
Jul 2011,7.28576
Jun 2011,5.159
May 2011,4.93174
Apr 2011,4.17365
Mar 2011,7.01602
Feb 2011,6.3015
Jan 2011,5.05365
Dec 2010,12.448
Nov 2010,7.342
Oct 2010,15.497
Sep 2010,8.889
Aug 2010,5.389
Jul 2010,8.502
Jun 2010,14.812
May 2010,5.337
Apr 2010,6.829
Mar 2010,8.573
Feb 2010,9.576
Jan 2010,7.934
Dec 2009,16.469
Nov 2009,13.283
Oct 2009,15.226
Sep 2009,23.374
Aug 2009,14.573
Jul 2009,13.185
Jun 2009,11.568
May 2009,11.957
Apr 2009,10.296
Mar 2009,8.186
Feb 2009,7.679
Jan 2009,7.997
Dec 2008,17.177
Nov 2008,10.673
Oct 2008,7.278
Sep 2008,17.238
Aug 2008,9.103
Jul 2008,9.214
Jun 2008,11.897
May 2008,18.61
Apr 2008,40.045
Mar 2008,30.653
Feb 2008,24.219
Jan 2008,13.5
Dec 2007,20.81
Nov 2007,9.54
Oct 2007,21.344
Sep 2007,9.053
Aug 2007,30.61
Jul 2007,18.903
Jun 2007,25.667
May 2007,13.866
Apr 2007,40.354
Mar 2007,14.49
Feb 2007,14.055
Jan 2007,30.517
Dec 2006,25.04736
Nov 2006,46.40773
Oct 2006,47.58325
Sep 2006,25.7915
Aug 2006,15.23811
Jul 2006,33.74499
Jun 2006,19.06129
May 2006,37.70325
Apr 2006,27.43304
Mar 2006,10.07737
Feb 2006,22.31183
Jan 2006,11.77032
Dec 2005,28.41438
Nov 2005,14.73766
Oct 2005,11.94914
Sep 2005,22.29309
Aug 2005,26.59522
Jul 2005,28.94734
Jun 2005,20.93756
May 2005,61.87824
Apr 2005,20.15601
Mar 2005,29.10385
Feb 2005,16.96882
Jan 2005,51.72581
Dec 2004,19.91692
Nov 2004,17.32901
Oct 2004,15.60684
Sep 2004,24.21116
Aug 2004,11.43972
Jul 2004,11.74589
Jun 2004,8.0946
May 2004,28.56558
Apr 2004,58.85519
Mar 2004,56.214
Feb 2004,19.6121
Jan 2004,14.98116
Dec 2003,12.535
Nov 2003,19.74
Oct 2003,24.36
Sep 2003,36.327
Aug 2003,39.216
Jul 2003,29
Jun 2003,39.608
May 2003,20.903
Apr 2003,17.665
Mar 2003,9.62
Feb 2003,9.859
Jan 2003,13.042
Dec 2002,30.052
Nov 2002,51.486
Oct 2002,20.124
Sep 2002,26.071
Aug 2002,14.612
Jul 2002,16.189
Jun 2002,9.425
May 2002,14.303
Apr 2002,31.467
Mar 2002,12.141
Feb 2002,31.994
Jan 2002,15.726
Dec 2001,8.939
Nov 2001,10.461
Oct 2001,10.977
Sep 2001,12.073
Aug 2001,19.55
Jul 2001,70.721
Jun 2001,97.972
May 2001,210.489
Apr 2001,191.017
Mar 2001,276.217
Feb 2001,389.075
Jan 2001,566.484 
