table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
SF1,115682,MOKA,COFFEE PEOPLE INC,NASDAQ,Y,Domestic,192189108,5810,Retail Trade,RETAIL-EATING & DRINKING PLACES,,Restaraunts Hotels Motels,Consumer Cyclical,Restaurants,1 - Nano,1 - Nano,,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1996-09-26,1999-07-07,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000925908,
SF1,115683,GFCO,GLENWAY FINANCIAL CORP,NASDAQ,Y,Domestic,379176100,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,,USD,OHIO U.S.A,2018-08-29,2018-08-29,1993-08-26,1999-03-19,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000861997,
SF1,115684,GASS1,AMERICAN RESOURCES OFFSHORE INC,NASDAQ,Y,Domestic,029280104 02926U209,1311,Mining,CRUDE PETROLEUM & NATURAL GAS,,Petroleum,Energy,Oil & Gas E&P,1 - Nano,1 - Nano,GASS,USD,TEXAS U.S.A,2018-08-29,2018-08-29,1993-10-01,1999-08-19,1997-03-31,2001-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000899717,
SF1,115685,TGRP,TELEGROUP INC,NASDAQ,Y,Domestic,879422103,4813,Transportation Communications Electric Gas and Sanitary Service,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),,Communication,Communication Services,Telecom Services,3 - Small,3 - Small,,USD,IOWA U.S.A,2018-08-29,2018-08-29,1997-07-10,1999-02-17,1995-09-30,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001037535,
SF1,115686,PYTV,TV FILME INC,NASDAQ,Y,Domestic,873071104,4841,Transportation Communications Electric Gas and Sanitary Service,CABLE & OTHER PAY TELEVISION SERVICES,,Communication,Communication Services,Pay TV,2 - Micro,2 - Micro,,USD,BRAZIL,2018-08-29,2018-08-29,1996-07-31,1999-02-04,1996-12-31,2000-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001013608,
SF1,115687,CGCP1,CARDIOGENESIS CORP,NASDAQ,Y,Domestic,14159K105,3845,Manufacturing,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,,Medical Equipment,Healthcare,Medical Devices,2 - Micro,1 - Nano,CGCP,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1996-05-23,1999-03-17,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001013465,
SF1,115688,PMRX,PHARMACEUTICAL MARKETING SERVICES INC,NASDAQ,Y,Domestic,717123103,7370,Services,SERVICES-COMPUTER PROGRAMMING DATA PROCESSING ETC.,,Business Services,Technology,Internet Content & Information,2 - Micro,2 - Micro,,USD,NEW YORK U.S.A,2018-08-29,2018-08-29,1991-12-24,1999-03-29,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000880119,
SF1,115689,FBER1,1ST BERGEN BANCORP,NASDAQ,Y,Domestic,318915105,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,FBER,USD,NEW JERSEY U.S.A,2018-08-29,2018-08-29,1996-04-02,1999-03-30,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001005016,
SF1,115690,NRC1,NAC RE CORP,NYSE,Y,Domestic,628907107,6331,Finance Insurance and Real Estate,FIRE MARINE & CASUALTY INSURANCE,,Insurance,Financial Services,Insurance - Property & Casualty,3 - Small,3 - Small,NRC,USD,CONNECTICUT U.S.A,2018-08-29,2018-08-29,1986-01-01,1999-06-18,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000775542,
SF1,115691,TRUV,TRUEVISION INC,NASDAQ,Y,Domestic,897872107,3571,Manufacturing,ELECTRONIC COMPUTERS,,Computers,Technology,Computer Systems,1 - Nano,2 - Micro,,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1990-05-10,1999-03-11,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000833619,
SF1,115692,SVG,STEVENS INTERNATIONAL INC,NYSEMKT,Y,Domestic,86024C203,3555,Manufacturing,PRINTING TRADES MACHINERY & EQUIPMENT,,Machinery,Industrials,Diversified Industrials,1 - Nano,2 - Micro,SVG.B,USD,TEXAS U.S.A,2018-08-29,2018-08-29,1987-08-28,1999-07-30,1996-12-31,2001-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000817644,
SF1,115693,CCON1,CIRCON CORP,NASDAQ,Y,Domestic,172736100,3845,Manufacturing,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,,Medical Equipment,Healthcare,Medical Devices,2 - Micro,2 - Micro,CCON,USD,MASSACHUSETTS U.S.A,2018-08-29,2018-08-29,1986-01-01,1999-01-05,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000719727,
SF1,115694,FHT,FINGERHUT COMPANIES INC,NYSE,Y,Domestic,317867109,5961,Retail Trade,RETAIL-CATALOG & MAIL-ORDER HOUSES,,Retail,Consumer Cyclical,Specialty Retail,3 - Small,3 - Small,,USD,MINNESOTA U.S.A,2018-08-29,2018-08-29,1990-04-26,1999-03-22,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000740126,
SF1,115695,TSSW,TOUCHSTONE SOFTWARE CORP,NASDAQ,Y,Domestic,891548307,7372,Services,SERVICES-PREPACKAGED SOFTWARE,,Business Services,Technology,Software - Application,1 - Nano,1 - Nano,,USD,MASSACHUSETTS U.S.A,2018-08-29,2018-08-29,1995-05-22,1999-07-19,1996-12-31,2008-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000751160,
SF1,115696,ABNKQ,AMERICAN BANKNOTE CORP,NYSE,Y,Domestic,024490302 911623106,2750,Manufacturing,COMMERCIAL PRINTING,,Business Services,Industrials,Business Services,2 - Micro,3 - Small,ABN,USD,NEW YORK U.S.A,2018-08-29,2018-08-29,1986-01-01,1999-08-02,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051124,
SF1,115697,SGNS,SIGNATURE INNS INC,NASDAQ,Y,Domestic,,7011,Services,HOTELS & MOTELS,,Restaraunts Hotels Motels,Consumer Cyclical,Resorts & Casinos,1 - Nano,1 - Nano,,USD,INDIANA U.S.A,2018-08-28,2018-08-28,1997-01-22,1999-05-06,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000352948,
SF1,115698,NTKI,N2K INC,NASDAQ,Y,Domestic,629427105,5961,Retail Trade,RETAIL-CATALOG & MAIL-ORDER HOUSES,,Retail,Consumer Cyclical,Specialty Retail,3 - Small,1 - Nano,,USD,NEW YORK U.S.A,2018-08-28,2018-08-28,1997-10-20,1999-03-17,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000791704,
SF1,115699,RMOC,RUTHERFORD-MORAN OIL CORP,NASDAQ,Y,Domestic,783286107,1311,Mining,CRUDE PETROLEUM & NATURAL GAS,,Petroleum,Energy,Oil & Gas E&P,3 - Small,1 - Nano,,USD,TEXAS U.S.A,2018-08-28,2018-08-28,1996-06-24,1999-03-17,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001012884,
SF1,115700,SFED,SFS BANCORP INC,NASDAQ,Y,Domestic,784166100,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,1 - Nano,1 - Nano,,USD,NEW YORK U.S.A,2018-08-28,2018-08-28,1995-07-03,1999-09-03,1996-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000942135,
SF1,115701,SFLX,SMARTFLEX SYSTEMS INC,NASDAQ,Y,Domestic,83169K108,3678,Manufacturing,ELECTRONIC CONNECTORS,,Electronic Equipment,Technology,Electronic Components,2 - Micro,2 - Micro,,USD,CALIFORNIA U.S.A,2018-08-28,2018-08-28,1995-08-02,1999-08-25,1996-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000946677,
SF1,115702,IMCC,IMC MORTGAGE CO,NASDAQ,Y,Domestic,449923101,6162,Finance Insurance and Real Estate,MORTGAGE BANKERS & LOAN CORRESPONDENTS,,Banking,Financial Services,Specialty Finance,3 - Small,3 - Small,,USD,FLORIDA U.S.A,2018-08-28,2018-08-28,1996-06-26,1999-04-15,1996-12-31,2000-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001012623,
SF1,115703,RLLY,RALLYS HAMBURGERS INC,NASDAQ,Y,Domestic,751203100,5812,Retail Trade,RETAIL-EATING  PLACES,,Restaraunts Hotels Motels,Consumer Cyclical,Restaurants,2 - Micro,2 - Micro,,USD,FLORIDA U.S.A,2018-08-28,2018-08-28,1989-10-16,1999-08-09,1995-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000854873,
SF1,115704,GMED1,GENEMEDICINE INC,NASDAQ,Y,Domestic,368707105,2836,Manufacturing,BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES),,Pharmaceutical Products,Healthcare,Biotechnology,2 - Micro,1 - Nano,GMED,USD,TEXAS U.S.A,2018-08-28,2018-08-28,1994-07-14,1999-03-18,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000907111,
SF1,115705,PNLG,PNI TECHNOLOGIES INC,NASDAQ,Y,Domestic,69350F107 739905107,4812,Transportation Communications Electric Gas and Sanitary Service,RADIOTELEPHONE COMMUNICATIONS,,Communication,Communication Services,Telecom Services,1 - Nano,1 - Nano,PFNT,USD,GEORGIA U.S.A,2018-08-28,2018-08-28,1996-02-28,1999-03-22,1996-12-31,2001-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000893335,
SF1,115706,CMCI1,CMC INDUSTRIES INC,NASDAQ,Y,Domestic,,3661,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,,Electronic Equipment,Technology,Communication Equipment,2 - Micro,3 - Small,CMCI,USD,CALIFORNIA U.S.A,2018-08-28,2018-08-28,1993-12-10,1999-07-29,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000913270,
SF1,115707,RENO,RENO AIR INC,NASDAQ,Y,Domestic,759741101,4512,Transportation Communications Electric Gas and Sanitary Service,AIR TRANSPORTATION SCHEDULED,,Shipping Containers,Industrials,Airlines,2 - Micro,3 - Small,,USD,NEVADA U.S.A,2018-08-28,2018-08-28,1993-03-09,1999-02-22,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000884264,
SF1,115708,HEP1,HALLWOOD ENERGY PARTNERS LP,NYSEMKT,Y,Domestic,40636P201 40636P300,1311,Mining,CRUDE PETROLEUM & NATURAL GAS,,Petroleum,Energy,Oil & Gas E&P,2 - Micro,2 - Micro,HEP HEP.C,USD,COLORADO U.S.A,2018-08-28,2018-08-28,1986-01-01,1999-06-07,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000768172,
SF1,115709,BRCP,BRC HOLDINGS INC,NASDAQ,Y,Domestic,227174109 05564D108 123296105,7370,Services,SERVICES-COMPUTER PROGRAMMING DATA PROCESSING ETC.,,Business Services,Technology,Internet Content & Information,2 - Micro,1 - Nano,,USD,TEXAS U.S.A,2018-08-28,2018-08-28,1986-01-01,1999-02-11,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000205219,
SF1,115710,EMPI,EMPI INC,NASDAQ,Y,Domestic,291586105,3845,Manufacturing,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,,Medical Equipment,Healthcare,Medical Devices,2 - Micro,2 - Micro,,USD,MINNESOTA U.S.A,2018-08-28,2018-08-28,1986-01-01,1999-08-31,1996-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000317032,
SF1,115711,APCO,AUTOMOBILE PROTECTION CORP APCO,NASDAQ,Y,Domestic,52905106,8741,Services,SERVICES-MANAGEMENT SERVICES,,Business Services,Technology,Health Information Services,2 - Micro,2 - Micro,,USD,GEORGIA U.S.A,2018-08-28,2018-08-28,1988-09-29,1999-07-20,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000833441,
SF1,115712,SEEQ,SEEQ TECHNOLOGY INC,NASDAQ,Y,Domestic,815779103 815778105,3674,Manufacturing,SEMICONDUCTORS & RELATED DEVICES,,Electronic Equipment,Technology,Semiconductors,2 - Micro,1 - Nano,,USD,CALIFORNIA U.S.A,2018-08-28,2018-08-28,1986-01-01,1999-06-22,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000702756,
SF1,115713,TPOA,TRAVEL PORTS OF AMERICA INC,NASDAQ,Y,Domestic,894167105,5500,Retail Trade,RETAIL-AUTO DEALERS & GASOLINE STATIONS,,Retail,Consumer Cyclical,Auto & Truck Dealerships,1 - Nano,2 - Micro,,USD,NEW YORK U.S.A,2018-08-28,2018-08-28,1986-09-29,1999-06-03,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000798935,
SF1,115714,PPI,PICO PRODUCTS INC,NYSEMKT,Y,Domestic,719884108,3663,Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,,Electronic Equipment,Technology,Communication Equipment,1 - Nano,1 - Nano,,USD,CALIFORNIA U.S.A,2018-08-28,2018-08-28,1986-01-01,1999-02-26,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000352994,
SF1,115715,EXC1,EXCEL INDUSTRIES INC,NYSE,Y,Domestic,300657103,3714,Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,,Automobiles and Trucks,Consumer Cyclical,Auto Parts,2 - Micro,3 - Small,EXC,USD,INDIANA U.S.A,2018-08-28,2018-08-28,1986-01-01,1999-03-23,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000740868,
SF1,115716,WLFI,WINSLOEW FURNITURE INC,NASDAQ,Y,Domestic,975377102,2510,Manufacturing,HOUSEHOLD FURNITURE,,Consumer Goods,Consumer Cyclical,Home Furnishings & Fixtures,2 - Micro,2 - Micro,,USD,FLORIDA U.S.A,2018-08-28,2018-08-28,1993-09-30,1999-08-27,1996-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000931814,
