Monthly Data for December 2017 for California

Name, StationType, MeanAvgTemperature
IMPERIAL, COOP, 57.6
JULIAN CDF, COOP, 52.9
CARLSBAD MCCLELLAN PALOMAR AP, WBAN, 59.9
HENSHAW DAM, COOP, 49.5
VISTA, COOP, 60.1
OCEANSIDE MARINA, COOP, 58.0
BORREGO DESERT PARK, COOP, 61.2
PALOMAR MTN OBSERVATORY, COOP, 51.6
MECCA FIRE STATION, COOP, 58.9
BLYTHE ASOS, WBAN, 56.2
DESERT RESORTS REGIONAL AP, WBAN, 56.8
CULVER CITY, COOP, 59.4
SANTA MONICA MUNICIPAL AP, WBAN, 60.1
ONTARIO INTL AP, WBAN, 60.5
U C L A, COOP, 64.8
IRON MOUNTAIN, COOP, 57.6
TWENTYNINE PALMS, COOP, 55.8
JOSHUA TREE, COOP, 52.0
POINT MUGU NF, WBAN, 58.6
WOODLAND HILLS PIERCE COLLEGE, COOP, 60.0
ELSINORE, COOP, 60.9
SANTA ANA JOHN WAYNE AP, WBAN, 61.2
HAYFIELD PUMPING PLANT, COOP, 58.0
IDYLLWILD FIRE DEPT, COOP, 48.7
SAN JACINTO RS, COOP, 57.9
HEMET, COOP, 61.0
SANTA ANA FIRE STATION, COOP, 62.7
EAGLE MOUNTAIN, COOP, 57.2
LONG BEACH DAUGHERTY AP, WBAN, 60.8
FULLERTON MUNICIPAL AP, WBAN, 60.4
MARCH AFB, WBAN, 53.6
HAWTHORNE MUNICIPAL AP, WBAN, 61.1
LOS ANGELES INTL AP, WBAN, 61.4
RIVERSIDE MUNICIPAL AP, WBAN, 60.0
CHINO AP, WBAN, 59.1
DAGGETT AP, WBAN, 49.5
MERCED, COOP, 46.2
SAN DIEGO MONTGOMERY FIELD, WBAN, 62.8
SAN DIEGO INTERNATIONAL AP, WBAN, 60.2
SAN DIEGO MIRAMAR NAS, WBAN, 64.3
NORTH ISLAND NAS, WBAN, 58.8
SAN FRANCISCO INTERNATIONAL AP, WBAN, 51.9
SAN LUIS OBISPO MCCHESNEY FIELD, WBAN, 56.8
CEDARVILLE, COOP, 29.7
CHICO UNIVERSITY FARM, COOP, 47.5
CHULA VISTA, COOP, 58.7
COLFAX, COOP, 50.2
CUYAMACA, COOP, 46.7
DAVIS 2 WSW EXP FARM, COOP, 47.8
DEATH VALLEY, COOP, 54.6
FAIRMONT, COOP, 52.4
FORT BRAGG 5 N, COOP, 45.3
HANFORD 1 S, COOP, 45.9
HAPPY CAMP RANGER STATION, COOP, 41.3
HEALDSBURG, COOP, 51.2
INDIO FIRE STATION, COOP, 61.1
LEMON COVE, COOP, 48.6
LIVERMORE, COOP, 47.8
MERCED MUNICIPAL AP, WBAN, 46.5
NAPA STATE HOSPITAL, COOP, 49.4
OJAI, COOP, 54.6
ORLAND, COOP, 49.3
PASADENA, COOP, 61.0
PASO ROBLES, COOP, 47.8
PETALUMA AIRPORT, COOP, 47.0
QUINCY, COOP, 32.6
SANTA BARBARA, COOP, 56.8
SANTA CRUZ, COOP, 52.7
SANTA ROSA, COOP, 46.9
TAHOE CITY, COOP, 34.3
WASCO, COOP, 48.6
WEAVERVILLE, COOP, 39.5
WILLOWS 6 W, COOP, 51.2
YOSEMITE PARK HEADQUARTERS, COOP, 41.7
YREKA, COOP, 34.3
BERKELEY, COOP, 53.7
EUREKA WFO WOODLEY ISLAND, WBAN, 47.3
INDEPENDENCE, WBAN, 45.6
SAN LUIS OBISPO POLY, WBAN, 59.3
IMPERIAL BEACH REAM FIELD NAS, WBAN, 57.0
CAMPO, COOP, 53.6
EL CENTRO 2 SSW, COOP, 58.7
IMPERIAL COUNTY AP, WBAN, 57.4
EL CENTRO NAF, WBAN, 56.5
ALPINE, COOP, 58.8
MT WILSON CBS, COOP, 52.2
VAN NUYS AP, WBAN, 61.5
CAMARILLO AP, WBAN, 59.8
OXNARD VENTURA COUNTY AP, WBAN, 60.0
PARKER RESRVOIR, COOP, 59.8
BIG BEAR LAKE, COOP, 40.2
SANTA BARBARA MUNI AP, WBAN, 52.8
VICTORVILLE, COOP, 48.2
GIBRALTAR DAM NO. 2, COOP, 53.9
AMBOY, COOP, 55.2
PALMDALE, COOP, 48.7
CACHUMA LAKE, COOP, 52.8
PALMDALE AP, WBAN, 47.6
LOMPOC, COOP, 55.0
LOMPOC AP, WBAN, 52.0
LANCASTER, WBAN, 44.1
SANDBERG, WBAN, 53.6
LEBEC, WBAN, 48.3
NEW CUYAMA FIRE STATION, COOP, 49.6
TWITCHELL DAM, COOP, 56.2
MOJAVE, COOP, 53.0
RANDSBURG, COOP, 50.6
BAKERSFIELD AP, WBAN, 50.0
BUTTONWILLOW, COOP, 45.6
GLENNVILLE, COOP, 43.2
TRONA, COOP, 49.6
DELANO, COOP, 47.1
KETTLEMAN CITY, COOP, 45.1
CORCORAN IRRIGATION DIST., COOP, 45.8
COALINGA, WBAN, 49.3
KING CITY, COOP, 50.5
LINDSAY, COOP, 46.2
BIG SUR STATION, COOP, 55.1
VISALIA, COOP, 46.5
FIVE POINTS 5 SSW, COOP, 47.8
ASH MOUNTAIN, COOP, 51.4
AUBERRY 2 NW, COOP, 47.5
LOS BANOS, COOP, 47.7
BEN LOMOND NO. 4, COOP, 51.3
ASPENDELL, COOP, 35.6
NORTH FORK RS, COOP, 46.6
LOS GATOS, COOP, 52.5
NEWMAN, COOP, 50.3
MOUNT HAMILTON, WBAN, 51.9
BISHOP AP, WBAN, 42.0
MOFFETT FEDERAL AIRFIELD, WBAN, 50.6
TURLOCK #2, COOP, 50.4
PALO ALTO, COOP, 48.0
REDWOOD CITY, COOP, 49.3
HALF MOON BAY, COOP, 52.3
THREE RIVERS EDISON PH 1, COOP, 49.6
PINNACLES NM, COOP, 51.2
CARMEL VALLEY, COOP, 54.5
LODGEPOLE, COOP, 32.9
MONTEREY, COOP, 53.2
SALINAS NO. 2, COOP, 52.8
SALINAS AP, WBAN, 53.7
GRANT GROVE, COOP, 44.1
HOLLISTER 2, COOP, 49.0
BALCH POWER HOUSE, COOP, 48.7
WATSONVILLE WATERWORKS, COOP, 53.4
FRIANT GOVERNMENT CAMP, COOP, 48.1
MADERA, COOP, 45.6
GILROY, COOP, 46.8
SO ENTRANCE YOSEMITE N.P., COOP, 43.0
NEWARK, COOP, 51.4
MODESTO, COOP, 52.0
MODESTO CITY COUNTY AP, WBAN, 47.8
HAYWARD AIR TERMINAL, WBAN, 51.1
TRACY CARBONA, COOP, 45.5
LIVERMORE MUNICIPAL AP, WBAN, 47.8
OAKLAND METROPOLITAN INTL AP, WBAN, 48.7
SAN FRANCISCO DOWNTOWN, WBAN, 54.4
SAN FRANCISCO OCEANSIDE, COOP, 53.8
GROVELAND 2, COOP, 44.1
TRACY PUMPING PLANT, COOP, 48.6
TUOLUMNE MEADOWS R.S., COOP, 32.4
MOUNT DIABLO JUNCTION, COOP, 52.9
STOCKTON METROPOLITAN AP, WBAN, 47.6
RICHMOND, COOP, 54.8
