,total liabilities / total assets,EBIT / total assets,(gross profit + interest) / total assets,(gross profit + depreciation) / total liabilities,gross profit / total assets,net profit / sales,(equity - share capital) / total assets,(net profit + depreciation) / total liabilities,logarithm of total assets,(gross profit + interest) / sales,operating expenses / short-term liabilities,profit on sales / total assets,constant capital / total assets,profit on sales / sales,(current assets - inventory - receivables) / short-term liabilities,profit on operating activities / sales,(current assets - inventory) / short-term liabilities,total costs /total sales,sales / short-term liabilities
total liabilities / total assets,1.0,0.7168000235261268,0.7168000309978791,-0.002420094886220511,0.7145723537901904,-0.010864212497707058,-0.46755607012072026,-0.0018940259841913748,0.012085590805832018,0.012684966717801359,-0.0032044396675312806,0.03019443442414133,-0.8718197748622644,-0.009128268894538485,-0.00047801567421076505,-0.0035298212511286706,-0.0011619450444351695,-0.09811053032360113,-0.0036522018167245026
EBIT / total assets,0.7168000235261268,1.0,0.9999999769200575,0.001554986740417719,0.9968798929664312,0.0008980856908315118,-0.8421487047409558,0.0018908018828811058,0.06232936937287361,0.0179353242079759,0.0016155774581312502,0.6906658802574146,-0.9520940469860523,0.014117143225944836,0.00293979263338979,0.004758086503975241,0.002447123744334482,-0.09267886310963831,0.0021106136119704868
(gross profit + interest) / total assets,0.7168000309978791,0.9999999769200575,1.0,0.001554898417585014,0.9968968286792496,0.0008983203160134014,-0.8421485628520986,0.0018907192271440797,0.06231557747075552,0.017937384941828567,0.001615351448373077,0.6906660353492142,-0.9520942250816454,0.014117640709460953,0.0029396880244435364,0.0048044187302806185,0.0024470000345465574,-0.09266038829369509,0.002110366401311781
(gross profit + depreciation) / total liabilities,-0.002420094886220511,0.001554986740417719,0.001554898417585014,1.0,0.001517699199189198,0.018944652304639757,0.003922215250897492,0.99994836405786,-0.02500351498186643,0.019696260594305702,0.957557122352677,0.001136071765577473,0.0014731181877781008,0.014811694012708038,0.9670509867963871,0.009748698227757088,0.9715128526337597,-0.016187372742688853,0.9653348701584097
gross profit / total assets,0.7145723537901904,0.9968798929664312,0.9968968286792496,0.001517699199189198,1.0,0.0009814903298684128,-0.8394761228574031,0.001854551449116855,0.05706840480376995,0.018636610938932516,0.0015275164632085802,0.6885737645010951,-0.949196915494431,0.014255986829188591,0.002892212722563812,0.021765317572690634,0.0023940593610133586,-0.08560300247890634,0.0020132232317746036
net profit / sales,-0.010864212497707058,0.0008980856908315118,0.0008983203160134014,0.018944652304639757,0.0009814903298684128,1.0,0.014424928855837186,0.019829502521890686,-0.0044036942606929365,0.9862402676172788,0.0017221360140621809,0.0021025664302142325,0.007628567496309741,0.2092106285872124,-0.017320863805539162,0.6727196056902499,-0.010349669568279598,-0.4213660319719954,0.003303677568285808
(equity - share capital) / total assets,-0.46755607012072026,-0.8421487047409558,-0.8421485628520986,0.003922215250897492,-0.8394761228574031,0.014424928855837186,1.0,0.0036918346373115093,0.0017434883183330132,0.0025591075639050604,0.003203034769987588,-0.8428470369983317,0.8143290243760176,0.015746966945858882,0.0022680964552146176,0.007815441403333444,0.0027668687673147387,0.023385231259193975,0.004171345227335895
(net profit + depreciation) / total liabilities,-0.0018940259841913748,0.0018908018828811058,0.0018907192271440797,0.99994836405786,0.001854551449116855,0.019829502521890686,0.0036918346373115093,1.0,-0.02470127181674568,0.020607536690731742,0.9564824047929708,0.001099624525910638,0.0010314344877647658,0.015267260918135394,0.9659657308912606,0.010024359655059165,0.9705297372217799,-0.01667681212098143,0.9645843843892126
logarithm of total assets,0.012085590805832018,0.06232936937287361,0.06231557747075552,-0.02500351498186643,0.05706840480376995,-0.0044036942606929365,0.0017434883183330132,-0.02470127181674568,1.0,-0.006681290433717095,-0.043682916256326525,0.05483159084948811,-0.03749155274360948,0.06645501276419494,-0.037341312413030625,-0.015089777201743159,-0.03727136811439506,-0.04510926125583888,-0.04525897403713335
(gross profit + interest) / sales,0.012684966717801359,0.0179353242079759,0.017937384941828567,0.019696260594305702,0.018636610938932516,0.9862402676172788,0.0025591075639050604,0.020607536690731742,-0.006681290433717095,1.0,0.0016904420746401058,0.00295286099813,-0.012712942647332384,0.17787957316416142,-0.017415739697721717,0.6608964327840657,-0.010381298926552058,-0.41885286153748374,0.0032969864795439
operating expenses / short-term liabilities,-0.0032044396675312806,0.0016155774581312502,0.001615351448373077,0.957557122352677,0.0015275164632085802,0.0017221360140621809,0.003203034769987588,0.9564824047929708,-0.043682916256326525,0.0016904420746401058,1.0,0.0010637381830544998,0.0018629544021015192,-0.0036658117137296393,0.9599238998409859,0.0013772603738314135,0.9675325627081374,-0.0012317895242368222,0.9979311845608401
profit on sales / total assets,0.03019443442414133,0.6906658802574146,0.6906660353492142,0.001136071765577473,0.6885737645010951,0.0021025664302142325,-0.8428470369983317,0.001099624525910638,0.05483159084948811,0.00295286099813,0.0010637381830544998,1.0,-0.5110421425086368,0.016120228228819606,0.000408440291682279,0.004909396324589257,0.0005228819012389409,-0.011360113224605846,0.0015685350286818772
constant capital / total assets,-0.8718197748622644,-0.9520940469860523,-0.9520942250816454,0.0014731181877781008,-0.949196915494431,0.007628567496309741,0.8143290243760176,0.0010314344877647658,-0.03749155274360948,-0.012712942647332384,0.0018629544021015192,-0.5110421425086368,1.0,-9.330550822638978e-05,-0.00031775356592411464,0.0002461088597170189,0.0002663781860443573,0.09268268442414648,0.002059048614981735
profit on sales / sales,-0.009128268894538485,0.014117143225944836,0.014117640709460953,0.014811694012708038,0.014255986829188591,0.2092106285872124,0.015746966945858882,0.015267260918135394,0.06645501276419494,0.17787957316416142,-0.0036658117137296393,0.016120228228819606,-9.330550822638978e-05,1.0,-0.005148617265843094,0.36397839467981374,-0.0025884365388594917,-0.8316262470385315,0.003818878541579247
(current assets - inventory - receivables) / short-term liabilities,-0.00047801567421076505,0.00293979263338979,0.0029396880244435364,0.9670509867963871,0.002892212722563812,-0.017320863805539162,0.0022680964552146176,0.9659657308912606,-0.037341312413030625,-0.017415739697721717,0.9599238998409859,0.000408440291682279,-0.00031775356592411464,-0.005148617265843094,1.0,-0.0038863399585531942,0.9941128260581086,0.00015125822752643918,0.9611855652610058
